"Feature","Gain","Cover","Frequency","GeneSymbol"
"X7951178",0.229916895475851,0.257204388552802,0.259259259259259,"TRPC6"
"X8083447",0.134434659246085,0.153184197729045,0.148148148148148,"P2RY1"
"X8179525",0.116765626157342,0.0799130936316379,0.0740740740740741,"SLC39A7"
"X8094184",0.11211836139159,0.0873287726031669,0.0740740740740741,"C1QTNF7"
"X7985268",0.0834735770884622,0.0764703638856271,0.0740740740740741,"FAH"
"X7972003",0.0779281373571272,0.0459521612621078,0.037037037037037,"KLF12"
"X7933733",0.0727350376780551,0.0447789121655073,0.037037037037037,"FAM13C"
"X8151496",0.0524206258051648,0.0448753965487804,0.037037037037037,"ZNF704"
"X7914563",0.0486604463195764,0.04234774810127,0.037037037037037,"YARS1"
"X7912198",0.0351283658979315,0.0383915298157084,0.037037037037037,"ENO1"
